Title,Year,Rating
TheShawshankRedemption,1994,9.3
TheGodfather,1972,9.2
TheDarkKnight,2008,9.0
TheGodfatherPartII,1974,9.0
AngryMen,1957,9.0
SchindlersList,1993,9.0
TheLordoftheRingsTheReturnoftheKing,2003,9.0
PulpFiction,1994,8.9
TheLordoftheRingsTheFellowshipoftheRing,2001,8.9
TheGoodtheBadandtheUgly,1966,8.8
ForrestGump,1994,8.8
TheLordoftheRingsTheTwoTowers,2002,8.8
FightClub,1999,8.8
Inception,2010,8.8
StarWarsEpisodeVTheEmpireStrikesBack,1980,8.7
TheMatrix,1999,8.7
Goodfellas,1990,8.7
OneFlewOvertheCuckoosNest,1975,8.7
Interstellar,2014,8.7
Seen,1995,8.6
ItsaWonderfulLife,1946,8.6
SevenSamurai,1954,8.6
TheSilenceoftheLambs,1991,8.6
SavingPrivateRyan,1998,8.6
CityofGod,2002,8.6
LifeIsBeautiful,1997,8.6
TheGreenMile,1999,8.6
TerminatorJudgmentDay,1991,8.6
StarWarsEpisodeIVANewHope,1977,8.6
BacktotheFuture,1985,8.5
SpiritedAway,2001,8.6
ThePianist,2002,8.5
Parasite,2019,8.5
Psycho,1960,8.5
Gladiator,2000,8.5
TheLionKing,1994,8.5
SpiderManAcrosstheSpiderVerse,2023,8.6
TheDeparted,2006,8.5
Whiplash,2014,8.5
AmericanHistoryX,1998,8.5
LéonTheProfessional,1994,8.5
ThePrestige,2006,8.5
GraveoftheFireflies,1988,8.5
DunePartTwo,2024,8.5
Harakiri,1962,8.6
TheUsualSuspects,1995,8.5
Casablanca,1942,8.5
TheIntouchables,2011,8.5
CinemaParadiso,1988,8.5
ModernTimes,1936,8.5
Alien,1979,8.5
RearWindow,1954,8.5
OnceUponaTimeintheWest,1968,8.5
CityLights,1931,8.5
DjangoUnchained,2012,8.5
ApocalypseNow,1979,8.4
Memento,2000,8.4
WALLE,2008,8.4
RaidersoftheLostArk,1981,8.4
thFail,2023,8.9
TheLivesofOthers,2006,8.4
SunsetBoulevard,1950,8.4
AvengersInfinityWar,2018,8.4
PathsofGlory,1957,8.4
SpiderManIntotheSpiderVerse,2018,8.4
WitnessfortheProsecution,1957,8.4
TheShining,1980,8.4
TheGreatDictator,1940,8.4
Aliens,1986,8.4
InglouriousBasterds,2009,8.4
TheDarkKnightRises,2012,8.4
Coco,2017,8.4
Amadeus,1984,8.4
DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb,1964,8.3
Oldboy,2003,8.3
ToyStory,1995,8.3
AmericanBeauty,1999,8.3
AvengersEndgame,2019,8.4
Braveheart,1995,8.3
DasBoot,1981,8.4
GoodWillHunting,1997,8.3
PrincessMononoke,1997,8.3
Joker,2019,8.4
YourName,2016,8.4
HighandLow,1963,8.4
Idiots,2009,8.4
OnceUponaTimeinAmerica,1984,8.3
SinginintheRain,1952,8.3
Capernaum,2018,8.4
ComeandSee,1985,8.4
RequiemforaDream,2000,8.3
ToyStory,2010,8.3
StarWarsEpisodeVIReturnoftheJedi,1983,8.3
EternalSunshineoftheSpotlessMind,2004,8.3
TheHunt,2012,8.3
ASpaceOdyssey,1968,8.3
Ikiru,1952,8.3
ReservoirDogs,1992,8.3
LawrenceofArabia,1962,8.3
TheApartment,1960,8.3
Incendies,2010,8.3
Oppenheimer,2023,8.3
NorthbyNorthwest,1959,8.3
Scarface,1983,8.3
CitizenKane,1941,8.3
DoubleIndemnity,1944,8.3
M,1931,8.3
Vertigo,1958,8.3
FullMetalJacket,1987,8.2
Amélie,2001,8.3
Heat,1995,8.3
Up,2009,8.3
AClockworkOrange,1971,8.2
ToKillaMockingbird,1962,8.3
ASeparation,2011,8.3
TheSting,1973,8.3
DieHard,1988,8.2
IndianaJonesandtheLastCrusade,1989,8.2
LikeStarsonEarth,2007,8.3
Metropolis,1927,8.3
Snatch,2000,8.2
,2019,8.2
LAConfidential,1997,8.2
